ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
1,Student_1,4.4,96,59.5,D,Pass,73.3
2,Student_2,9.6,61,60.0,C,Pass,73.5
3,Student_3,7.6,65,80.2,B,Pass,82.82000000000001
4,Student_4,6.4,73,99.6,A,Pass,94.46
5,Student_5,2.4,68,79.7,B,Pass,73.02
6,Student_6,2.4,57,73.5,C,Pass,66.0
7,Student_7,1.5,80,83.8,B,Pass,77.28
8,Student_8,8.8,70,67.9,C,Pass,79.34
9,Student_9,6.4,66,43.6,D,Pass,58.760000000000005
10,Student_10,7.4,72,73.7,C,Pass,80.61999999999999
11,Student_11,1.2,86,97.5,A,Pass,86.7
12,Student_12,9.7,65,50.5,D,Pass,69.19999999999999
13,Student_13,8.5,55,69.99137749737118,C,Pass,75.4948264984227
14,Student_14,2.9,57,52.1,D,Pass,54.16
15,Student_15,2.6,74,72.1,C,Pass,70.66
16,Student_16,2.7,67,45.8,D,Pass,52.98
17,Student_17,3.7,74,67.0,C,Pass,69.8
18,Student_18,5.7,61,85.4,B,Pass,80.94000000000001
19,Student_19,4.9,64,60.9,C,Pass,65.53999999999999
20,Student_20,3.6,75,79.9,B,Pass,77.64
21,Student_21,6.5,90,87.7,B,Pass,92.62
22,Student_22,2.3,94,95.6,A,Pass,90.15999999999998
23,Student_23,3.6,75,69.99137749737118,C,Pass,71.6948264984227
24,Student_24,4.3,96,64.0,C,Pass,75.79999999999998
25,Student_25,5.1,81,49.1,D,Pass,63.96000000000001
26,Student_26,8.1,59,99.5,A,Pass,93.6
27,Student_27,2.8,65,95.6,A,Pass,82.45999999999998
28,Student_28,5.6,56,72.4,C,Pass,71.44000000000001
29,Student_29,6.3,66,90.5,A,Pass,86.69999999999999
30,Student_30,1.4,72,71.3,C,Pass,67.17999999999999
31,Student_31,6.5,75,77.4,B,Pass,81.94
32,Student_32,2.5,70,45.3,D,Pass,53.17999999999999
33,Student_33,1.6,71,85.3,B,Pass,75.68
34,Student_34,9.5,56,47.7,D,Pass,64.42
35,Student_35,9.7,63,89.6,B,Pass,92.06
36,Student_36,8.3,64,86.9,B,Pass,87.94
37,Student_37,3.7,56,82.5,B,Pass,73.7
38,Student_38,1.9,58,42.2,D,Pass,46.52
39,Student_39,7.2,100,58.2,D,Pass,79.32000000000001
40,Student_40,5.0,97,55.8,D,Pass,72.58
41,Student_41,2.1,57,61.6,C,Pass,58.260000000000005
42,Student_42,5.5,99,45.3,D,Pass,67.88
43,Student_43,1.3,72,96.2,A,Pass,81.91999999999999
44,Student_44,9.2,78,73.2,C,Pass,85.72
45,Student_45,3.3,67,58.3,D,Pass,61.68
46,Student_46,7.0,80,63.8,C,Pass,76.28
47,Student_47,3.8,79,66.8,C,Pass,71.38
48,Student_48,5.7,88,76.0,B,Pass,83.4
49,Student_49,5.9,84,70.9,C,Pass,79.53999999999999
50,Student_50,2.7,67,95.2,A,Pass,82.62
51,Student_51,9.7,91,69.8,C,Pass,88.57999999999998
52,Student_52,8.0,88,99.5,A,Pass,102.1
53,Student_53,9.5,66,91.1,A,Pass,93.46
54,Student_54,9.1,63,52.5,D,Pass,68.6
55,Student_55,6.4,80,95.8,A,Pass,94.28
56,Student_56,9.3,73,47.0,D,Pass,68.69999999999999
57,Student_57,1.8,84,89.0,B,Pass,82.19999999999999
58,Student_58,2.8,93,62.8,C,Pass,71.17999999999999
59,Student_59,1.4,94,92.7,A,Pass,86.61999999999999
60,Student_60,3.9,83,92.1,A,Pass,87.96
61,Student_61,4.5,52,88.4,B,Pass,77.64
62,Student_62,3.4,86,87.4,B,Pass,85.04
63,Student_63,8.5,92,58.3,D,Pass,79.58
64,Student_64,4.2,89,44.9,D,Pass,62.04
65,Student_65,3.5,75,64.2,C,Pass,68.02000000000001
