ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
2,Student_2,9.6,61,60.0,C,Pass,73.5
8,Student_8,8.8,70,67.9,C,Pass,79.34
12,Student_12,9.7,65,50.5,D,Pass,69.19999999999999
13,Student_13,8.5,55,69.99137749737118,C,Pass,75.4948264984227
26,Student_26,8.1,59,99.5,A,Pass,93.6
34,Student_34,9.5,56,47.7,D,Pass,64.42
35,Student_35,9.7,63,89.6,B,Pass,92.06
36,Student_36,8.3,64,86.9,B,Pass,87.94
44,Student_44,9.2,78,73.2,C,Pass,85.72
51,Student_51,9.7,91,69.8,C,Pass,88.57999999999998
53,Student_53,9.5,66,91.1,A,Pass,93.46
54,Student_54,9.1,63,52.5,D,Pass,68.6
56,Student_56,9.3,73,47.0,D,Pass,68.69999999999999
63,Student_63,8.5,92,58.3,D,Pass,79.58
68,Student_68,8.2,88,60.8,C,Pass,79.28
70,Student_70,9.9,98,78.5,B,Pass,96.3
74,Student_74,8.3,74,95.4,A,Pass,96.03999999999999
81,Student_81,8.8,93,48.8,D,Pass,74.78
89,Student_89,9.0,67,65.9,C,Pass,77.64
105,Student_105,9.2,88,81.7,B,Pass,93.82
113,Student_113,9.4,63,43.7,D,Pass,63.92
114,Student_114,8.3,79,70.6,C,Pass,82.66
116,Student_116,8.8,53,88.8,B,Pass,86.78
117,Student_117,8.2,67,76.9,B,Pass,82.63999999999999
119,Student_119,9.0,74,77.4,B,Pass,86.64
121,Student_121,8.3,50,65.6,C,Pass,70.96
122,Student_122,9.1,95,47.8,D,Pass,75.38
127,Student_127,8.4,73,64.8,C,Pass,77.58
128,Student_128,8.7,53,89.7,B,Pass,87.12
135,Student_135,9.5,95,55.6,D,Pass,80.86
140,Student_140,9.7,74,40.7,D,Pass,66.02000000000001
141,Student_141,9.7,56,69.99137749737118,C,Pass,78.19482649842271
151,Student_151,9.2,83,69.3,C,Pass,84.88
155,Student_155,9.9,52,68.6,C,Pass,76.56
166,Student_166,8.5,91,55.3,D,Pass,77.48
179,Student_179,9.4,58,84.2,B,Pass,86.72
183,Student_183,9.3,83,45.1,D,Pass,70.56
184,Student_184,8.9,60,83.0,B,Pass,85.6
187,Student_187,8.4,77,40.7,D,Pass,64.32
192,Student_192,9.1,83,61.0,C,Pass,79.7
193,Student_193,9.1,61,86.5,B,Pass,88.4
198,Student_198,9.1,74,69.99137749737118,C,Pass,82.3948264984227
199,Student_199,9.0,54,85.9,B,Pass,85.74
204,Student_204,9.1,87,57.7,D,Pass,78.92
220,Student_220,8.6,94,74.9,C,Pass,90.34
227,Student_227,9.8,89,53.5,D,Pass,78.4
229,Student_229,9.0,62,65.9,C,Pass,76.14
231,Student_231,8.2,82,76.8,B,Pass,87.07999999999998
241,Student_241,9.5,62,90.8,A,Pass,92.08
242,Student_242,9.6,92,95.1,A,Pass,103.86
243,Student_243,9.2,94,55.1,D,Pass,79.66
246,Student_246,9.4,85,90.5,A,Pass,98.6
248,Student_248,9.7,87,86.6,B,Pass,97.45999999999998
249,Student_249,9.7,56,79.4,B,Pass,83.84
250,Student_250,8.7,54,50.6,D,Pass,63.96
253,Student_253,8.7,100,96.2,A,Pass,105.12
257,Student_257,9.4,59,83.6,B,Pass,86.66
262,Student_262,9.9,80,84.0,B,Pass,94.2
265,Student_265,8.9,51,70.5,C,Pass,75.39999999999999
271,Student_271,8.3,51,85.7,B,Pass,83.32
272,Student_272,8.3,81,49.6,D,Pass,70.66
273,Student_273,8.8,62,67.7,C,Pass,76.82
274,Student_274,9.2,95,40.6,D,Pass,71.25999999999999
277,Student_277,8.2,90,99.5,A,Pass,103.1
280,Student_280,8.2,80,88.0,B,Pass,93.19999999999999
281,Student_281,9.0,83,52.2,D,Pass,74.22
293,Student_293,8.4,83,52.1,D,Pass,72.96
306,Student_306,9.8,76,63.5,C,Pass,80.5
309,Student_309,8.2,71,40.2,D,Pass,61.82
314,Student_314,9.7,75,75.3,B,Pass,87.08000000000001
315,Student_315,8.5,67,68.9,C,Pass,78.44
325,Student_325,9.6,78,89.5,B,Pass,96.3
337,Student_337,8.7,95,66.0,C,Pass,85.5
352,Student_352,8.7,96,74.3,C,Pass,90.78
359,Student_359,9.5,66,89.9,B,Pass,92.74000000000001
365,Student_365,9.5,65,65.8,C,Pass,77.97999999999999
367,Student_367,9.7,69,90.5,A,Pass,94.4
368,Student_368,9.1,55,51.2,D,Pass,65.42
377,Student_377,8.6,98,83.8,B,Pass,96.88
379,Student_379,8.3,73,49.5,D,Pass,68.19999999999999
384,Student_384,8.9,65,97.4,A,Pass,95.74
386,Student_386,8.2,57,43.4,D,Pass,59.54
390,Student_390,8.3,78,94.4,A,Pass,96.63999999999999
391,Student_391,9.9,57,55.0,D,Pass,69.89999999999999
396,Student_396,9.4,56,43.9,D,Pass,61.94
397,Student_397,8.7,52,69.3,C,Pass,74.58
402,Student_402,9.1,69,71.9,C,Pass,82.04
404,Student_404,8.4,64,60.8,C,Pass,72.47999999999999
406,Student_406,9.1,79,41.3,D,Pass,66.67999999999999
409,Student_409,9.1,66,73.6,C,Pass,82.16
412,Student_412,9.6,85,65.1,C,Pass,83.76
413,Student_413,9.6,58,55.6,D,Pass,69.96
421,Student_421,8.1,62,69.99137749737118,C,Pass,76.79482649842271
