ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
2,Student_2,9.6,61,60.0,C,Pass,73.5
3,Student_3,7.6,65,80.2,B,Pass,82.82000000000001
4,Student_4,6.4,73,99.6,A,Pass,94.46
5,Student_5,2.4,68,79.7,B,Pass,73.02
6,Student_6,2.4,57,73.5,C,Pass,66.0
8,Student_8,8.8,70,67.9,C,Pass,79.34
9,Student_9,6.4,66,43.6,D,Pass,58.760000000000005
10,Student_10,7.4,72,73.7,C,Pass,80.61999999999999
12,Student_12,9.7,65,50.5,D,Pass,69.19999999999999
13,Student_13,8.5,55,69.99137749737118,C,Pass,75.4948264984227
14,Student_14,2.9,57,52.1,D,Pass,54.16
15,Student_15,2.6,74,72.1,C,Pass,70.66
16,Student_16,2.7,67,45.8,D,Pass,52.98
17,Student_17,3.7,74,67.0,C,Pass,69.8
18,Student_18,5.7,61,85.4,B,Pass,80.94000000000001
19,Student_19,4.9,64,60.9,C,Pass,65.53999999999999
26,Student_26,8.1,59,99.5,A,Pass,93.6
27,Student_27,2.8,65,95.6,A,Pass,82.45999999999998
28,Student_28,5.6,56,72.4,C,Pass,71.44000000000001
29,Student_29,6.3,66,90.5,A,Pass,86.69999999999999
30,Student_30,1.4,72,71.3,C,Pass,67.17999999999999
32,Student_32,2.5,70,45.3,D,Pass,53.17999999999999
33,Student_33,1.6,71,85.3,B,Pass,75.68
34,Student_34,9.5,56,47.7,D,Pass,64.42
35,Student_35,9.7,63,89.6,B,Pass,92.06
36,Student_36,8.3,64,86.9,B,Pass,87.94
37,Student_37,3.7,56,82.5,B,Pass,73.7
38,Student_38,1.9,58,42.2,D,Pass,46.519999999999996
41,Student_41,2.1,57,61.6,C,Pass,58.260000000000005
43,Student_43,1.3,72,96.2,A,Pass,81.91999999999999
45,Student_45,3.3,67,58.3,D,Pass,61.68
50,Student_50,2.7,67,95.2,A,Pass,82.62
53,Student_53,9.5,66,91.1,A,Pass,93.46
54,Student_54,9.1,63,52.5,D,Pass,68.6
56,Student_56,9.3,73,47.0,D,Pass,68.69999999999999
61,Student_61,4.5,52,88.4,B,Pass,77.64
66,Student_66,5.9,72,50.4,D,Pass,63.64
69,Student_69,1.7,64,98.5,A,Pass,81.7
71,Student_71,8.0,53,89.3,B,Pass,85.47999999999999
73,Student_73,1.0,71,91.7,A,Pass,78.32000000000001
74,Student_74,8.3,74,95.4,A,Pass,96.03999999999999
75,Student_75,7.4,62,69.2,C,Pass,74.92
76,Student_76,7.6,67,76.4,B,Pass,81.14
78,Student_78,1.7,65,50.5,D,Pass,53.199999999999996
82,Student_82,6.6,51,62.1,C,Pass,65.75999999999999
87,Student_87,7.6,62,73.0,C,Pass,77.6
88,Student_88,6.7,62,97.9,A,Pass,90.74000000000001
89,Student_89,9.0,67,65.9,C,Pass,77.64
99,Student_99,1.2,65,43.7,D,Pass,48.12
102,Student_102,6.7,59,43.5,D,Pass,57.199999999999996
104,Student_104,5.6,74,43.5,D,Pass,59.5
106,Student_106,3.2,69,99.0,A,Pass,86.5
107,Student_107,4.7,54,54.4,D,Pass,58.24
108,Student_108,7.8,50,48.5,D,Pass,59.699999999999996
111,Student_111,3.6,52,46.1,D,Pass,50.46
113,Student_113,9.4,63,43.7,D,Pass,63.92
116,Student_116,8.8,53,88.8,B,Pass,86.78
117,Student_117,8.2,67,76.9,B,Pass,82.63999999999999
119,Student_119,9.0,74,77.4,B,Pass,86.64
121,Student_121,8.3,50,65.6,C,Pass,70.96
123,Student_123,3.9,64,93.2,A,Pass,82.92
124,Student_124,2.0,58,67.0,C,Pass,61.599999999999994
125,Student_125,3.1,64,51.7,D,Pass,56.42
127,Student_127,8.4,73,64.8,C,Pass,77.58
128,Student_128,8.7,53,89.7,B,Pass,87.12
129,Student_129,1.1,61,84.0,B,Pass,70.9
133,Student_133,2.1,55,68.9,C,Pass,62.040000000000006
136,Student_136,3.9,73,85.6,B,Pass,81.05999999999999
137,Student_137,5.7,60,69.99137749737118,C,Pass,71.3948264984227
138,Student_138,7.3,62,72.1,C,Pass,76.46
140,Student_140,9.7,74,40.7,D,Pass,66.02000000000001
141,Student_141,9.7,56,69.99137749737118,C,Pass,78.19482649842271
142,Student_142,3.3,53,98.6,A,Pass,81.66
143,Student_143,5.5,57,88.1,B,Pass,80.96
144,Student_144,3.7,69,97.6,A,Pass,86.66
149,Student_149,1.5,59,90.7,A,Pass,75.12
155,Student_155,9.9,52,68.6,C,Pass,76.56
156,Student_156,3.2,55,62.6,C,Pass,60.46
157,Student_157,7.0,54,69.99137749737118,C,Pass,72.1948264984227
158,Student_158,7.9,54,67.6,C,Pass,72.55999999999999
160,Student_160,7.6,72,93.5,A,Pass,92.9
162,Student_162,6.7,58,87.2,B,Pass,83.12
164,Student_164,5.8,69,81.3,B,Pass,81.07999999999998
169,Student_169,1.4,67,94.1,A,Pass,79.35999999999999
170,Student_170,6.3,66,67.7,C,Pass,73.02
171,Student_171,7.1,73,78.2,B,Pass,83.02
172,Student_172,1.1,52,79.6,B,Pass,65.56
176,Student_176,2.6,62,44.0,D,Pass,50.2
178,Student_178,4.5,74,49.0,D,Pass,60.599999999999994
179,Student_179,9.4,58,84.2,B,Pass,86.72
180,Student_180,2.2,53,70.7,C,Pass,62.72
181,Student_181,4.1,63,80.8,B,Pass,75.58
184,Student_184,8.9,60,83.0,B,Pass,85.6
