ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
39,Student_39,7.2,100,58.2,D,Pass,79.32000000000001
332,Student_332,7.8,100,87.3,B,Pass,97.98
253,Student_253,8.7,100,96.2,A,Pass,105.12
223,Student_223,1.8,100,79.4,B,Pass,81.24
576,Student_576,9.5,100,87.3,B,Pass,101.38
563,Student_563,2.2,100,90.2,A,Pass,88.52000000000001
676,Student_676,9.8,100,68.9,C,Pass,90.94
529,Student_529,1.5,100,72.4,C,Pass,76.44
542,Student_542,6.5,100,46.0,D,Pass,70.6
521,Student_521,6.3,100,71.6,C,Pass,85.55999999999999
577,Student_577,2.3,100,69.99137749737118,C,Pass,76.59482649842269
146,Student_146,1.3,100,46.6,D,Pass,60.56
442,Student_442,9.9,100,91.0,A,Pass,104.4
844,Student_844,9.6,100,66.6,C,Pass,89.16
831,Student_831,3.0,99,90.0,A,Pass,89.7
218,Student_218,7.7,99,69.99137749737118,C,Pass,87.0948264984227
395,Student_395,4.1,99,86.6,B,Pass,89.86
681,Student_681,8.4,99,71.0,C,Pass,89.1
686,Student_686,6.0,99,46.5,D,Pass,69.6
661,Student_661,4.2,99,79.1,B,Pass,85.56
927,Student_927,3.4,99,86.1,B,Pass,88.16
476,Student_476,9.9,99,89.3,B,Pass,103.08
493,Student_493,3.5,99,59.0,D,Pass,72.1
703,Student_703,4.0,99,47.9,D,Pass,66.44
700,Student_700,5.3,99,69.6,C,Pass,82.05999999999999
561,Student_561,7.3,99,91.3,A,Pass,99.07999999999998
692,Student_692,4.8,99,95.9,A,Pass,96.84
720,Student_720,7.6,99,76.2,B,Pass,90.62
42,Student_42,5.5,99,45.3,D,Pass,67.88
304,Student_304,6.7,99,93.2,A,Pass,99.02
998,Student_998,2.2,99,90.4,A,Pass,88.34
316,Student_316,7.3,99,78.5,B,Pass,91.4
915,Student_915,6.0,99,97.4,A,Pass,100.14
746,Student_746,9.1,99,72.0,C,Pass,91.1
115,Student_115,6.7,99,99.8,A,Pass,102.98
458,Student_458,5.2,99,85.4,B,Pass,91.34
497,Student_497,6.3,99,99.0,A,Pass,101.7
168,Student_168,2.7,99,42.3,D,Pass,60.48
276,Student_276,5.5,98,83.6,B,Pass,90.56
727,Student_727,2.3,98,65.1,C,Pass,73.05999999999999
70,Student_70,9.9,98,78.5,B,Pass,96.3
562,Student_562,2.9,98,53.6,D,Pass,67.36
377,Student_377,8.6,98,83.8,B,Pass,96.88
960,Student_960,7.6,98,59.3,D,Pass,80.17999999999999
792,Student_792,6.3,98,80.6,B,Pass,90.36
790,Student_790,9.5,98,64.6,C,Pass,87.16
653,Student_653,6.3,98,77.9,B,Pass,88.74
675,Student_675,4.7,98,59.9,D,Pass,74.74000000000001
154,Student_154,5.4,98,84.2,B,Pass,90.72
868,Student_868,2.6,98,56.5,D,Pass,68.5
