ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
4,Student_4,6.4,73,99.6,A,Pass,94.46
11,Student_11,1.2,86,97.5,A,Pass,86.7
22,Student_22,2.3,94,95.6,A,Pass,90.15999999999998
26,Student_26,8.1,59,99.5,A,Pass,93.6
27,Student_27,2.8,65,95.6,A,Pass,82.45999999999998
29,Student_29,6.3,66,90.5,A,Pass,86.69999999999999
43,Student_43,1.3,72,96.2,A,Pass,81.91999999999999
50,Student_50,2.7,67,95.2,A,Pass,82.62
52,Student_52,8.0,88,99.5,A,Pass,102.1
53,Student_53,9.5,66,91.1,A,Pass,93.46
55,Student_55,6.4,80,95.8,A,Pass,94.27999999999999
59,Student_59,1.4,94,92.7,A,Pass,86.61999999999999
60,Student_60,3.9,83,92.1,A,Pass,87.96
69,Student_69,1.7,64,98.5,A,Pass,81.7
73,Student_73,1.0,71,91.7,A,Pass,78.32000000000001
74,Student_74,8.3,74,95.4,A,Pass,96.03999999999999
86,Student_86,3.9,79,97.8,A,Pass,90.17999999999999
88,Student_88,6.7,62,97.9,A,Pass,90.74000000000001
103,Student_103,3.8,79,99.7,A,Pass,91.11999999999999
106,Student_106,3.2,69,99.0,A,Pass,86.5
115,Student_115,6.7,99,99.8,A,Pass,102.98
123,Student_123,3.9,64,93.2,A,Pass,82.92
142,Student_142,3.3,53,98.6,A,Pass,81.66
144,Student_144,3.7,69,97.6,A,Pass,86.66
149,Student_149,1.5,59,90.7,A,Pass,75.12
160,Student_160,7.6,72,93.5,A,Pass,92.9
161,Student_161,4.3,98,97.3,A,Pass,96.38
167,Student_167,3.9,84,90.5,A,Pass,87.3
169,Student_169,1.4,67,94.1,A,Pass,79.35999999999999
173,Student_173,5.6,81,93.7,A,Pass,91.72
188,Student_188,6.0,78,97.4,A,Pass,93.84
203,Student_203,2.5,64,98.1,A,Pass,83.05999999999999
215,Student_215,7.4,54,98.1,A,Pass,89.85999999999999
226,Student_226,3.2,83,95.7,A,Pass,88.72
232,Student_232,5.5,55,96.6,A,Pass,85.46
236,Student_236,7.5,89,93.2,A,Pass,97.62
240,Student_240,2.6,90,91.7,A,Pass,87.22000000000001
241,Student_241,9.5,62,90.8,A,Pass,92.08
242,Student_242,9.6,92,95.1,A,Pass,103.86
246,Student_246,9.4,85,90.5,A,Pass,98.6
252,Student_252,4.5,94,99.1,A,Pass,96.66
253,Student_253,8.7,100,96.2,A,Pass,105.12
261,Student_261,6.5,88,90.4,A,Pass,93.64
269,Student_269,4.2,61,92.4,A,Pass,82.14000000000001
277,Student_277,8.2,90,99.5,A,Pass,103.1
294,Student_294,4.2,77,97.5,A,Pass,90.0
